car_id,odometer_km,km_since_service,avg_daily_km,load_factor,age_years,broke_down
VOS-1000,43322,3507,172,0.7,4,0
VOS-1007,109463,2672,110,0.53,11,0
VOS-1020,29573,11823,92,0.42,4,0
VOS-1024,47698,12048,103,0.25,5,0
VOS-1032,12445,16296,134,0.62,1,0
VOS-1038,32282,5116,177,0.59,3,1
VOS-1048,41085,1989,165,0.69,4,0
VOS-1051,84381,2977,136,0.56,10,0
VOS-1060,24414,3376,69,0.25,2,0
VOS-1067,71145,8686,81,0.35,8,0
VOS-1073,96489,14513,115,0.52,11,1
VOS-1082,30088,14176,173,0.52,4,1
VOS-1084,11478,7599,89,0.39,1,0
VOS-1096,61877,11807,76,0.25,7,0
VOS-1098,67966,12132,172,0.74,7,1
VOS-1107,44177,4165,94,0.32,4,0
VOS-1114,91631,10291,150,0.57,11,0
VOS-1124,79437,2478,154,0.51,9,0
VOS-1130,12997,15185,118,0.56,1,0
VOS-1137,98893,10454,154,0.7,11,0
VOS-1143,28911,11216,54,0.25,3,0
VOS-1149,79095,3603,40,0.25,10,0
VOS-1160,36955,5832,98,0.43,4,0
VOS-1162,89514,11039,187,0.75,11,0
VOS-1168,37327,9057,127,0.7,4,0
VOS-1175,24484,5872,106,0.47,2,0
VOS-1182,36763,11150,140,0.54,4,0
VOS-1189,93973,2921,195,0.68,10,0
VOS-1196,19368,6383,114,0.43,1,0
VOS-1206,35470,10989,130,0.6,4,1
VOS-1213,76613,11576,140,0.44,9,0
VOS-1217,77447,15657,164,0.79,10,0
VOS-1224,71925,13380,186,0.51,7,1
VOS-1235,54239,2713,225,0.88,7,0
VOS-1241,9114,3755,156,0.53,1,0
VOS-1251,45981,11763,52,0.25,5,0
VOS-1258,19521,1419,133,0.57,2,0
VOS-1259,15111,12556,229,0.88,1,1
VOS-1267,41998,578,106,0.28,4,0
VOS-1276,49911,12110,59,0.25,7,0
VOS-1285,13275,8360,124,0.56,2,0
VOS-1287,87183,729,140,0.54,9,0
VOS-1300,77636,13920,130,0.49,8,1
VOS-1305,92834,7519,130,0.47,11,0
VOS-1309,75652,5561,223,0.87,9,1
VOS-1315,30629,5653,167,0.59,3,0
VOS-1326,46966,3960,212,0.59,4,0
VOS-1333,41009,11615,118,0.38,4,0
VOS-1337,65618,14108,104,0.37,7,0
VOS-1349,52832,1086,204,0.86,5,1
VOS-1352,64207,5749,76,0.37,7,0
VOS-1359,79369,10814,117,0.53,9,1
VOS-1366,35366,14890,124,0.51,3,1
VOS-1371,42607,6354,40,0.25,4,0
VOS-1379,23089,6744,131,0.58,3,1
VOS-1390,16610,15128,121,0.5,2,0
VOS-1395,25688,8847,179,0.67,2,0
VOS-1404,9922,5885,116,0.38,1,0
VOS-1408,26709,1183,146,0.61,3,0
VOS-1419,52463,8931,60,0.25,7,0
VOS-1425,37968,10768,128,0.29,4,0
VOS-1433,64116,13270,83,0.33,8,0
VOS-1437,79523,2967,161,0.57,9,0
VOS-1447,95329,10994,85,0.35,11,0
VOS-1448,77318,1700,240,0.98,10,0
VOS-1457,31936,13421,128,0.36,4,1
VOS-1464,83215,12879,146,0.51,9,0
VOS-1471,69982,11396,177,0.75,8,1
VOS-1479,4841,6258,86,0.46,1,0
VOS-1486,69589,2798,93,0.4,7,0
VOS-1493,83412,13813,124,0.37,10,1
VOS-1497,12591,3083,152,0.64,2,0
VOS-1505,35463,14984,160,0.67,4,1
VOS-1512,33812,15921,80,0.25,4,1
VOS-1521,77628,13844,97,0.44,9,1
VOS-1525,33586,11134,179,0.63,4,1
VOS-1534,100997,14027,119,0.45,11,0
VOS-1541,101995,11193,80,0.44,11,0
VOS-1548,22238,12607,111,0.42,2,0
VOS-1558,38629,11642,59,0.25,4,0
VOS-1562,53016,1926,201,0.75,6,0
VOS-1573,33076,5412,118,0.33,3,0
VOS-1580,42688,5194,229,0.98,3,0
VOS-1582,69576,10316,131,0.5,8,0
VOS-1594,71731,10500,183,0.73,7,0
VOS-1599,46184,5824,148,0.49,5,1
VOS-1603,85039,4520,91,0.41,9,0
VOS-1609,33185,5211,168,0.64,3,0
VOS-1616,98667,7002,162,0.66,11,0
VOS-1626,36315,5341,80,0.25,5,0
VOS-1633,9379,12404,112,0.4,2,0
VOS-1643,42577,7605,223,0.74,5,0
VOS-1649,37855,4306,218,0.87,4,0
VOS-1656,60173,6850,154,0.51,7,0
VOS-1664,83564,12057,128,0.45,10,0
VOS-1665,42249,2740,155,0.55,4,0
VOS-1672,87018,1180,75,0.3,10,0
VOS-1685,66500,13759,95,0.29,7,0
VOS-1689,66100,8372,157,0.43,6,0
VOS-1697,39423,6008,149,0.65,3,0
VOS-1705,80872,5536,148,0.57,8,0
VOS-1707,52759,12747,168,0.59,5,1
VOS-1714,35325,8362,119,0.46,4,0
VOS-1722,53553,2866,100,0.34,7,0
VOS-1728,67990,13882,244,0.71,7,1
VOS-1741,17067,8769,138,0.55,2,0
VOS-1746,47775,3264,136,0.52,6,0
VOS-1755,93305,12684,177,0.62,11,1
VOS-1760,91972,906,212,0.83,11,0
VOS-1767,25359,6262,209,0.74,3,0
VOS-1773,28626,566,196,0.68,3,0
VOS-1778,34403,2719,195,0.79,5,0
VOS-1788,95909,3849,137,0.46,11,0
VOS-1791,90464,8983,146,0.43,10,0
VOS-1801,83023,4319,147,0.26,10,0
VOS-1811,83731,4455,132,0.65,9,0
VOS-1813,56367,15135,77,0.35,7,0
VOS-1822,38774,13977,200,0.98,4,1
VOS-1831,31536,14122,159,0.57,4,1
VOS-1834,38501,5670,162,0.71,3,0
